,ISIN,DESCRIZIONE,ULTIMO,CEDOLA,SCADENZA, ,Rendimento effettivo a scadenza lordo,Rendimento effettivo a scadenza netto
17,IT0004848492,Btp Coupon Strip Zc Mg31 Eur,83.09,,01/05/2031,,3.09,"2,73"
23,IT0005083057,"Btp Tf 3,25% St46 Eur",88.94,"1,625",01/09/2046,,4.1,"3,65"
25,IT0005094088,"Btp Tf 1,65% Mz32 Eur",90.63,"0,825",01/03/2032,,3.22,"2,99"
27,IT0005138828,"Btpi Tf 1,25% St32 Eur",99.51,"0,625",15/09/2032,,3.76,"3,04"
28,IT0005162828,"Btp Tf 2,7% Mz47 Eur",80.9,"1,35",01/03/2047,,4.1,"3,7"
30,IT0005177909,"Btp Tf 2,25% St36 Eur",87.23,"1,125",01/09/2036,,3.7,"3,38"
32,IT0005217390,"Btp Tf 2,8% Mz67 Eur",74.4,"1,40",01/03/2067,,4.15,"3,7"
33,IT0005240350,"Btp Tf 2,45% St33 Eur",93.57,"1,225",01/09/2033,,3.38,"3,06"
36,IT0005273013,"Btp Tf 3,45% Mz48 Eur",90.98,"1,725",01/03/2048,,4.12,"3,66"
38,IT0005321325,"Btp Tf 2,95% St38 Eur",91.49,"1,475",01/09/2038,,3.84,"3,44"
44,IT0005358806,"Btp Tf 3,35% Mz35 Eur",98.7,"1,675",01/03/2035,,3.58,"3,15"
45,IT0005363111,"Btp Tf 3,85% St49 Eur",96.32,"1,925",01/09/2049,,4.17,"3,66"
48,IT0005377152,"Btp Tf 3,1% Mz40 Eur",91.36,"1,55",01/03/2040,,3.93,"3,51"
50,IT0005387052,"Btpi Tf 0,4% Mg30 Eur",96.12,"0,20",15/05/2030,,3.52,"2,78"
53,IT0005398406,"Btp Tf 2,45% St50 Eur",74.53,"1,225",01/09/2050,,4.14,"3,76"
54,IT0005402117,"Btp Tf 1,45% Mz36 Eur",80.56,"0,725",01/03/2036,,3.67,"3,46"
55,IT0005403396,"Btp Tf 0,95% Ag30 Eur",90.03,"0,475",01/08/2030,,3.01,"2,88"
58,IT0005413171,"Btp Tf 1,65% Dc30 Eur",92.9,"0,825",01/12/2030,,3.07,"2,84"
59,IT0005415291,Btp Futura Lg30 Eur,91.2,"0,65",14/07/2030,,3.2,"3,02"
60,IT0005415416,"Btpi Tf 0,65% Mg26 Eur",99.89,"0,325",15/05/2026,,3.19,"1,12"
63,IT0005421703,"Btp Tf 1,8% Mz41 Eur",75.06,"0,90",01/03/2041,,3.99,"3,71"
64,IT0005422891,"Btp Tf 0,90% Ap31 Eur",88.15,"0,45",01/04/2031,,3.11,"2,99"
65,IT0005425233,"Btp Tf 1,7% St51 Eur",62.79,"0,85",01/09/2051,,4.06,"3,77"
67,IT0005433195,"Btp Tf 0,95% Mz37 Eur",73.82,"0,475",01/03/2037,,3.73,"3,59"
69,IT0005436693,"Btp Tf 0,6% Ag31 Eur",85.61,"0,30",01/08/2031,,3.15,"3,07"
70,IT0005436701,"Btpi Tf 0,15% Mg51 Eur",63.26,"0,075",15/05/2051,,4.33,"4,03"
72,IT0005438004,"Btpgreen 1,5%Ap45eur",66.37,"0,75",30/04/2045,,4.01,"3,76"
73,IT0005441883,"Btp Tf 2,15% Mz72 Eur",61.7,"1,075",01/03/2072,,4.02,"3,63"
74,IT0005442097,Btp Futura Ap37 Eur,76.8,"0,375",27/04/2037,,4.06,"3,83"
76,IT0005449969,"Btp Tf 0,95% Dc31 Eur",86.83,"0,475",01/12/2031,,3.2,"3,06"
78,IT0005466013,"Btp Tf 0,95% Gn32 Eur",85.62,"0,475",01/06/2032,,3.25,"3,11"
79,IT0005466351,Btp Futura Nv33 Eur,84.47,"0,375",16/11/2033,,3.57,"3,37"
81,IT0005480980,"Btp Tf 2,15% St52 Eur",68.51,"1,075",01/09/2052,,4.15,"3,79"
82,IT0005482994,"Btpi Tf 0,1% Mg33 Eur",88.92,"0,05",15/05/2033,,3.92,"3,47"
85,IT0005494239,"Btp Tf 2,5% Dc32 Eur",94.92,"1,25",01/12/2032,,3.32,"2,97"
87,IT0005496770,"Btp Tf 3,25% Mz38 Eur",94.77,"1,625",01/03/2038,,3.84,"3,41"
131,IT0005588881,Btpi Fx May36 Eur,99.42,"0,90",15/05/2036,,4.25,"3,75"
140,IT0005619546,Btp Fx 3.15% Nov31 Eur,99.8,"1,575",15/11/2031,,3.24,"2,84"
146,IT0005635583,Btp Fx 3.85% Oct40 Eur,98.98,"0,44423",01/10/2040,,4.02,"3,52"
